[2026-03-17 22:14:12.181] [DEBUG] [app] worker=2 message=0 (/home/volly/pico/hexapod/hexapod-server/src/hexapod-server.cpp:66, operator())
[2026-03-17 22:14:12.181] [DEBUG] [app] worker=2 message=1 (/home/volly/pico/hexapod/hexapod-server/src/hexapod-server.cpp:66, operator())
[2026-03-17 22:14:12.181] [DEBUG] [app] worker=2 message=2 (/home/volly/pico/hexapod/hexapod-server/src/hexapod-server.cpp:66, operator())
[2026-03-17 22:14:12.181] [DEBUG] [app] worker=2 message=3 (/home/volly/pico/hexapod/hexapod-server/src/hexapod-server.cpp:66, operator())
[2026-03-17 22:14:12.181] [DEBUG] [app] worker=0 message=0 (/home/volly/pico/hexapod/hexapod-server/src/hexapod-server.cpp:66, operator())
[2026-03-17 22:14:12.181] [DEBUG] [app] worker=0 message=1 (/home/volly/pico/hexapod/hexapod-server/src/hexapod-server.cpp:66, operator())
[2026-03-17 22:14:12.181] [DEBUG] [app] worker=0 message=2 (/home/volly/pico/hexapod/hexapod-server/src/hexapod-server.cpp:66, operator())
[2026-03-17 22:14:12.181] [DEBUG] [app] worker=0 message=3 (/home/volly/pico/hexapod/hexapod-server/src/hexapod-server.cpp:66, operator())
[2026-03-17 22:14:12.181] [DEBUG] [app] worker=0 message=4 (/home/volly/pico/hexapod/hexapod-server/src/hexapod-server.cpp:66, operator())
[2026-03-17 22:14:12.182] [DEBUG] [app] worker=0 message=5 (/home/volly/pico/hexapod/hexapod-server/src/hexapod-server.cpp:66, operator())
[2026-03-17 22:14:12.182] [DEBUG] [app] worker=0 message=6 (/home/volly/pico/hexapod/hexapod-server/src/hexapod-server.cpp:66, operator())
[2026-03-17 22:14:12.182] [DEBUG] [app] worker=0 message=7 (/home/volly/pico/hexapod/hexapod-server/src/hexapod-server.cpp:66, operator())
[2026-03-17 22:14:12.182] [DEBUG] [app] worker=0 message=8 (/home/volly/pico/hexapod/hexapod-server/src/hexapod-server.cpp:66, operator())
[2026-03-17 22:14:12.182] [DEBUG] [app] worker=0 message=9 (/home/volly/pico/hexapod/hexapod-server/src/hexapod-server.cpp:66, operator())
[2026-03-17 22:14:12.182] [DEBUG] [app] worker=0 message=10 (/home/volly/pico/hexapod/hexapod-server/src/hexapod-server.cpp:66, operator())
[2026-03-17 22:14:12.182] [DEBUG] [app] worker=0 message=11 (/home/volly/pico/hexapod/hexapod-server/src/hexapod-server.cpp:66, operator())
[2026-03-17 22:14:12.182] [DEBUG] [app] worker=0 message=12 (/home/volly/pico/hexapod/hexapod-server/src/hexapod-server.cpp:66, operator())
[2026-03-17 22:14:12.182] [DEBUG] [app] worker=0 message=13 (/home/volly/pico/hexapod/hexapod-server/src/hexapod-server.cpp:66, operator())
[2026-03-17 22:14:12.182] [DEBUG] [app] worker=3 message=0 (/home/volly/pico/hexapod/hexapod-server/src/hexapod-server.cpp:66, operator())
[2026-03-17 22:14:12.182] [DEBUG] [app] worker=2 message=4 (/home/volly/pico/hexapod/hexapod-server/src/hexapod-server.cpp:66, operator())
[2026-03-17 22:14:12.182] [DEBUG] [app] worker=3 message=1 (/home/volly/pico/hexapod/hexapod-server/src/hexapod-server.cpp:66, operator())
[2026-03-17 22:14:12.183] [DEBUG] [app] worker=2 message=5 (/home/volly/pico/hexapod/hexapod-server/src/hexapod-server.cpp:66, operator())
[2026-03-17 22:14:12.183] [DEBUG] [app] worker=3 message=2 (/home/volly/pico/hexapod/hexapod-server/src/hexapod-server.cpp:66, operator())
[2026-03-17 22:14:12.183] [DEBUG] [app] worker=2 message=6 (/home/volly/pico/hexapod/hexapod-server/src/hexapod-server.cpp:66, operator())
[2026-03-17 22:14:12.183] [DEBUG] [app] worker=1 message=0 (/home/volly/pico/hexapod/hexapod-server/src/hexapod-server.cpp:66, operator())
[2026-03-17 22:14:12.183] [DEBUG] [app] worker=0 message=14 (/home/volly/pico/hexapod/hexapod-server/src/hexapod-server.cpp:66, operator())
[2026-03-17 22:14:12.183] [DEBUG] [app] worker=0 message=15 (/home/volly/pico/hexapod/hexapod-server/src/hexapod-server.cpp:66, operator())
[2026-03-17 22:14:12.183] [DEBUG] [app] worker=1 message=1 (/home/volly/pico/hexapod/hexapod-server/src/hexapod-server.cpp:66, operator())
[2026-03-17 22:14:12.183] [DEBUG] [app] worker=0 message=16 (/home/volly/pico/hexapod/hexapod-server/src/hexapod-server.cpp:66, operator())
[2026-03-17 22:14:12.183] [DEBUG] [app] worker=2 message=7 (/home/volly/pico/hexapod/hexapod-server/src/hexapod-server.cpp:66, operator())
[2026-03-17 22:14:12.183] [DEBUG] [app] worker=1 message=2 (/home/volly/pico/hexapod/hexapod-server/src/hexapod-server.cpp:66, operator())
[2026-03-17 22:14:12.183] [DEBUG] [app] worker=0 message=17 (/home/volly/pico/hexapod/hexapod-server/src/hexapod-server.cpp:66, operator())
[2026-03-17 22:14:12.183] [DEBUG] [app] worker=3 message=3 (/home/volly/pico/hexapod/hexapod-server/src/hexapod-server.cpp:66, operator())
[2026-03-17 22:14:12.183] [DEBUG] [app] worker=0 message=18 (/home/volly/pico/hexapod/hexapod-server/src/hexapod-server.cpp:66, operator())
[2026-03-17 22:14:12.183] [DEBUG] [app] worker=1 message=3 (/home/volly/pico/hexapod/hexapod-server/src/hexapod-server.cpp:66, operator())
[2026-03-17 22:14:12.183] [DEBUG] [app] worker=1 message=4 (/home/volly/pico/hexapod/hexapod-server/src/hexapod-server.cpp:66, operator())
[2026-03-17 22:14:12.183] [DEBUG] [app] worker=1 message=5 (/home/volly/pico/hexapod/hexapod-server/src/hexapod-server.cpp:66, operator())
[2026-03-17 22:14:12.184] [DEBUG] [app] worker=0 message=19 (/home/volly/pico/hexapod/hexapod-server/src/hexapod-server.cpp:66, operator())
[2026-03-17 22:14:12.184] [DEBUG] [app] worker=3 message=4 (/home/volly/pico/hexapod/hexapod-server/src/hexapod-server.cpp:66, operator())
[2026-03-17 22:14:12.184] [DEBUG] [app] worker=0 message=20 (/home/volly/pico/hexapod/hexapod-server/src/hexapod-server.cpp:66, operator())
[2026-03-17 22:14:12.184] [DEBUG] [app] worker=1 message=6 (/home/volly/pico/hexapod/hexapod-server/src/hexapod-server.cpp:66, operator())
[2026-03-17 22:14:12.184] [DEBUG] [app] worker=0 message=21 (/home/volly/pico/hexapod/hexapod-server/src/hexapod-server.cpp:66, operator())
[2026-03-17 22:14:12.184] [DEBUG] [app] worker=1 message=7 (/home/volly/pico/hexapod/hexapod-server/src/hexapod-server.cpp:66, operator())
[2026-03-17 22:14:12.184] [DEBUG] [app] worker=2 message=8 (/home/volly/pico/hexapod/hexapod-server/src/hexapod-server.cpp:66, operator())
[2026-03-17 22:14:12.184] [DEBUG] [app] worker=3 message=5 (/home/volly/pico/hexapod/hexapod-server/src/hexapod-server.cpp:66, operator())
